,fid,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,total_fwd_pkt,total_bwd_pkt,total_length_fwd_pkt,total_length_bwd_pkt,fwd_pkt_length_max,fwd_pkt_length_min,fwd_pkt_length_avg,fwd_pkt_length_std,bwd_pkt_length_min,bwd_pkt_length_max,bwd_pkt_length_avg,bwd_pkt_length_std,flow_bytes_s,flow_iat_avg,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_avg,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_avg,bwd_iat_std,bwd_iat_max,bwd_iat_min,fw_psh_flag,bw_psh_flag,fw_urg_flag,bw_urg_flag,fw_hdr_len,bw_hdr_len,fw_pkt_s,bw_pkt_s,pkt_len_min,pkt_len_max,pkt_len_avg,pkt_len_std,pkt_len_var,fin_cnt,syn_cnt,rst_cnt,psh_cnt,ack_cnt,urg_cnt,CWR_cnt,ece_cnt,down_up_ratio,pkt_size_avg,fw_seg_avg,bw_seg_avg,fw_byt_blk_avg,fw_pkt_blk_avg,fw_blk_rate_avg,bw_byt_blk_avg,bw_pkt_blk_avg,bw_blk_rate_avg,sub_fl_fw_pkt,sub_fl_fw_byt,sub_fl_bw_pkt,sub_fl_bw_byt,fw_win_byt,bw_win_byt,Fw_act_pkt,fw_seg_min,atv_avg,atv_std,atv_max,atv_min,idl_avg,idl_std,idl_max,idl_min
150,172.18.0.19:59442>172.18.0.10:9330--TCP,172.18.0.19,172.18.0.10,59442,9330,TCP,2022-07-29 11:24:05.348675,61.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.01639344262295082,0.01639344262295082,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855600>>,64240,0,0,40,0.0000305,0.0000305,0.000061,0,64.0,0.0,64,64
151,172.18.0.15:46190>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46190,5432,TCP,2022-07-29 11:24:15.223820,9873507.0,124,91,45844,85581,8192,0,940.4505494505495,1757.6783279933506,0,4615,369.7096774193548,688.6609350433163,0.013310873228732202,0.09164450232558139534883720930,0.5740965148800927873847624947,5.759565,0,9.873507,0.07962505645161290322580645161,0.5352877021681485357629994020,5.759325,0,9.830061,0.1080226483516483516483516484,0.6227266975577785542301275565,5.759565,0,74,68,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52, 96, 52, 128, 52, 137, 52, 52, 218, 52, 52, 4667, 52, 159, 52, 119, 52, 103, 52, 158, 52, 145, 52, 145, 52, 154, 52, 263, 52, 101, 52, 158, 52, 1791, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 172, 141, 179, 83, 158, 52, 83, 52, 158, 52, 200, 52, 83, 52, 158, 52, 83, 52, 96, 52, 337, 52, 550, 52, 52, 52, 119, 52, 119, 52, 138, 52, 337, 52, 550, 52, 52, 96, 138, 1891, 1201, 52, 1574, 166, 1530, 1908, 1241, 52, 1906, 1239, 1521, 1905, 1238, 1517, 1908, 1241, 52, 1905, 1238, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 122, 78, 150, 185, 77, 185, 79, 52, 1530, 115, 139, 82, 103, 125, 125, 126, 87, 80, 103, 52, 467, 1992, 1992, 1992, 1992, 1992, 1992, 1992, 1992, 1992, 159, 125, 1252, 75, 103, 77, 103, 87, 75, 103, 75, 78, 4970, 7292, 1004, 6396, 139, 139, 977, 4970, 8244, 6396, 78, 977, 52, 1055, 7292, 596, 52, 608, 128, 52, 857, 52, 468, 2495, 52, 466, 1228, 52, 674, 52, 465, 1247, 52, 831, 52, 468, 2495, 52, 465, 1247]",1.255886079789076e-05,9.216583327484348e-06,0,8192,611.2790697674419,1288.6665385977321,1668421.5479243642,0,2,0,142,214,0,0,0,0.7338709677419355,611.2790697674419,369.7096774193548,369.7096774193548,1478.8387096774193,250.0,4643.132374342774,3761.802197802198,184.0,8706.049738653706,0.5767441860465117,213.22790697674418,0.4232558139534884,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855630>>,125812,115108,68,52,0.04592328837209302325581395349,0.4084115978525751730736572015,5.759325,0,64.0,0.0,64,64
152,172.18.0.15:46192>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46192,5432,TCP,2022-07-29 11:24:05.649993,4327.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.17032586087358448,0.0003728695652173913043478260870,0.0003517483419012032055038238801,0.001095,0,0.004327,0.0003605833333333333333333333333,0.0003520450866800381231469649127,0.001095,0,0.004249,0.0003862727272727272727272727273,0.0003509341017935602287511033794,0.001066,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.0027732840305061245,0.002542177027963947,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,71874.27779061705,154.9090909090909,24.0,100258.88444339845,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855660>>,69757,70250,5,52,0.0001881304347826086956521739130,0.0003003562094446939798885617985,0.001066,0,64.0,0.0,64,64
153,172.18.0.15:46194>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46194,5432,TCP,2022-07-29 11:24:05.655194,4071.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.18103660034389585,0.0003513478260869565217391304348,0.0003511218800775410885126887196,0.001194,0,0.004071,0.00033925,0.0003550432192001418860501363715,0.001194,0,0.004010,0.0003645454545454545454545454545,0.0003463118310100315662575850045,0.001158,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.0029476787030213707,0.002702038811102923,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,76394.0063866372,154.9090909090909,24.0,106234.4139650873,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855690>>,69757,70250,5,52,0.000177,0.0002937089656815724963830122463,0.001158,0,64.0,0.0,64,64
154,172.18.0.15:46196>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46196,5432,TCP,2022-07-29 11:24:05.660522,4416.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.166893115942029,0.0003812608695652173913043478261,0.0004013950907816283724456081696,0.001226,0,0.004416,0.000368,0.0004060299660534100694066515004,0.001226,0,0.004353,0.0003957272727272727272727272727,0.0003957706155910128406691473665,0.001181,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.002717391304347826,0.002490942028985507,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,70425.72463768117,154.9090909090909,24.0,97863.54238456237,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA258556C0>>,69757,70250,5,52,0.000192,0.0003305146185019329230055848214,0.001181,0,64.0,0.0,64,64
155,172.18.0.15:46198>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46198,5432,TCP,2022-07-29 11:24:05.665261,3921.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.1879622545269064,0.0003384347826086956521739130435,0.0003377446715168075294585084565,0.001154,0,0.003921,0.00032675,0.0003411199996579893681837702193,0.001154,0,0.003863,0.0003511818181818181818181818182,0.0003335570874355878481221987986,0.001121,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.00306044376434583,0.0028054067839836778,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,79316.50089262942,154.9090909090909,24.0,110276.98679782552,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA258556F0>>,69757,70250,5,52,0.0001704782608695652173913043478,0.0002833372348595309323331128713,0.001121,0,64.0,0.0,64,64
156,172.18.0.15:46200>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46200,5432,TCP,2022-07-29 11:24:05.669994,3903.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.18882910581603896,0.000337,0.0003192221524404214215997485270,0.001094,0,0.003903,0.00032525,0.0003245913135518776222282393974,0.001094,0,0.003848,0.0003498181818181818181818181818,0.0003127568960599555688710933351,0.001055,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.0030745580322828594,0.002818344862925954,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,79682.29566999745,154.9090909090909,24.0,110706.86070686071,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855720>>,69757,70250,5,52,0.0001696956521739130434782608696,0.0002707044650027050369185081221,0.001055,0,64.0,0.0,64,64
157,172.18.0.15:46202>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46202,5432,TCP,2022-07-29 11:24:05.674849,3957.9999999999995,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.18620515411824157,0.0003410869565217391304347826087,0.0003345319784601710845990327841,0.001103,0,0.003958,0.0003298333333333333333333333333,0.0003382791828587085190748971878,0.001103,0,0.003887,0.0003533636363636363636363636364,0.0003299581992058092437724378993,0.001073,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.0030318342597271354,0.002779181404749874,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,78575.03789792825,154.9090909090909,24.0,109596.0895291999,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855750>>,69757,70250,5,52,0.0001720869565217391304347826087,0.0002820772193140641256132880370,0.001073,0,64.0,0.0,64,64
158,172.18.0.15:46204>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46204,5432,TCP,2022-07-29 11:24:05.679274,3654.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.20169677066228792,0.0003154347826086956521739130435,0.0003350930858455221545922396751,0.001213,0,0.003654,0.0003045,0.0003372433592130960454108206898,0.001213,0,0.003601,0.0003273636363636363636363636364,0.0003323213868113687999308572282,0.001181,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.003284072249589491,0.0030103995621237,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,85112.20580186097,154.9090909090909,24.0,118300.4720910858,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA25855780>>,69757,70250,5,52,0.0001588695652173913043478260870,0.0002762315198379520141300212853,0.001181,0,64.0,0.0,64,64
159,172.18.0.15:46206>172.18.0.5:5432--TCP,172.18.0.15,172.18.0.5,46206,5432,TCP,2022-07-29 11:24:05.683602,3517.0,12,11,311,426,317,0,38.72727272727273,90.29556609379193,0,115,25.916666666666668,38.65975153682301,0.20955359681546773,0.0003036521739130434782608695652,0.0003004802834732150396584489300,0.001032,0,0.003517,0.0002930833333333333333333333333,0.0003031282617235739626929675753,0.001032,0,0.003467,0.0003151818181818181818181818182,0.0002971362767185265117448974226,0.001008,0,5,5,0,0,"[60, 52, 60, 52, 167, 52, 93, 52, 115, 52, 136, 52]","[60, 52, 53, 52, 65, 52, 369, 52, 77, 52, 122]",0.0034119988626670457,0.0031276656241114587,0,317,32.04347826086956,68.70319166111165,4934.679841897233,0,2,0,10,22,0,0,0,0.9166666666666666,32.04347826086956,25.916666666666668,25.916666666666668,103.66666666666667,26.0,88427.6371907876,154.9090909090909,24.0,122872.80069224113,0.5217391304347826,13.521739130434783,0.4782608695652174,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA258557B0>>,69757,70250,5,52,0.0001529130434782608695652173913,0.0002535536840580962496410666153,0.001008,0,64.0,0.0,64,64
