Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.10-172.18.0.2-35622-8086-6,172.18.0.10,35622,172.18.0.2,8086,6,29/07/2022 11:23:59 AM,15147470,7,6,216.0,360.0,216.0,0.0,30.857142857142858,81.64032616999309,292.0,0.0,60.0,116.86573492688095,38.02615222212026,0.858229130013131,1262289.1666666665,4371846.422198163,1.5144766E7,8.0,1.5147462E7,2524577.0,6182608.643821538,1.5144774E7,39.0,1.5147236E7,3029447.2,6772684.217025788,1.5144793E7,55.0,0,0,0,0,232,200,0.46212337769937817,0.3961057523137527,0.0,292.0,41.14285714285714,93.16887656529705,8680.43956043956,0,2,0,3,12,0,0,0,0.0,44.30769230769231,30.857142857142858,60.0,0,0,0,0,0,0,7,216,6,360,64240,508,1,32,2649.0,0.0,2649.0,2649.0,1.5144766E7,0.0,1.5144766E7,1.5144766E7,NeedManualLabel
172.18.0.19-172.18.0.10-59468-9330-6,172.18.0.19,59468,172.18.0.10,9330,6,29/07/2022 11:24:17 AM,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37202-9550-6,172.18.0.20,37202,172.18.0.19,9550,6,29/07/2022 11:24:17 AM,69,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28985.507246376812,69.0,0.0,69.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,14492.753623188406,14492.753623188406,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.19-172.18.0.10-59470-9330-6,172.18.0.19,59470,172.18.0.10,9330,6,29/07/2022 11:24:18 AM,107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18691.58878504673,107.0,0.0,107.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,9345.794392523365,9345.794392523365,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37204-9550-6,172.18.0.20,37204,172.18.0.19,9550,6,29/07/2022 11:24:18 AM,274,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.270072992701,274.0,0.0,274.0,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,3649.6350364963505,3649.6350364963505,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.19-172.18.0.10-59472-9330-6,172.18.0.19,59472,172.18.0.10,9330,6,29/07/2022 11:24:19 AM,111,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18018.018018018018,111.0,0.0,111.0,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,9009.009009009009,9009.009009009009,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37206-9550-6,172.18.0.20,37206,172.18.0.19,9550,6,29/07/2022 11:24:19 AM,58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,17241.379310344826,17241.379310344826,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.19-172.18.0.14-53176-9861-6,172.18.0.19,53176,172.18.0.14,9861,6,29/07/2022 11:24:20 AM,32730,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.3180568285976,6546.0,13398.854335352706,30453.0,9.0,45.0,22.5,9.192388155425117,29.0,16.0,32710.0,16355.0,19937.582802335895,30453.0,2257.0,0,0,0,0,104,104,91.6590284142988,91.6590284142988,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.19-172.18.0.10-59474-9330-6,172.18.0.19,59474,172.18.0.10,9330,6,29/07/2022 11:24:20 AM,45686,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.33126121787856,9137.2,18990.978192289098,43052.0,12.0,66.0,33.0,22.627416997969522,49.0,17.0,45649.0,22824.5,28606.00483290178,43052.0,2597.0,0,0,0,0,104,104,65.66563060893928,65.66563060893928,0.0,0.0,0.0,0.0,0.0,2,2,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37208-9550-6,172.18.0.20,37208,172.18.0.19,9550,6,29/07/2022 11:24:20 AM,74,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27027.027027027027,74.0,0.0,74.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,13513.513513513513,13513.513513513513,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37210-9550-6,172.18.0.20,37210,172.18.0.19,9550,6,29/07/2022 11:24:21 AM,377,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.039787798409,377.0,0.0,377.0,377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,2652.5198938992044,2652.5198938992044,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37212-9550-6,172.18.0.20,37212,172.18.0.19,9550,6,29/07/2022 11:24:22 AM,56,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35714.28571428572,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,17857.14285714286,17857.14285714286,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37214-9550-6,172.18.0.20,37214,172.18.0.19,9550,6,29/07/2022 11:24:23 AM,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.88524590164,61.0,0.0,61.0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,16393.44262295082,16393.44262295082,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37218-9550-6,172.18.0.20,37218,172.18.0.19,9550,6,29/07/2022 11:24:24 AM,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41666.666666666664,48.0,0.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20833.333333333332,20833.333333333332,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37220-9550-6,172.18.0.20,37220,172.18.0.19,9550,6,29/07/2022 11:24:25 AM,52,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38461.53846153846,52.0,0.0,52.0,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,19230.76923076923,19230.76923076923,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.19-37222-9550-6,172.18.0.20,37222,172.18.0.19,9550,6,29/07/2022 11:24:27 AM,32,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,31250.0,31250.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.13-46744-8888-6,172.18.0.20,46744,172.18.0.13,8888,6,29/07/2022 11:24:27 AM,1021,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4897.159647404505,255.25,438.0193108376235,912.0,22.0,109.0,54.5,28.991378028648448,75.0,34.0,968.0,968.0,0.0,968.0,968.0,0,0,0,0,104,72,2938.2957884427033,1958.8638589618022,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
